names	scores	logfoldchanges	pvals	pvals_adj
OXNAD1	5.4367056	1.1013004	5.427477772776689e-08	9.357373715657587e-07
RPS26	5.394031	1.0617543	6.889430037529467e-08	1.1609157221610742e-06
EEF1G	5.3863497	1.2134061	7.190300728141349e-08	1.2007479780985823e-06
CLIC3	5.3735476	0.9268298	7.720249858899008e-08	1.272133206838049e-06
BEST1	5.3701334	1.2481586	7.867839579365614e-08	1.2907416120509932e-06
RNF145	5.3650126	0.5675594	8.094359542503749e-08	1.3220787252756125e-06
ZCCHC10	5.3547707	0.57435334	8.566497813231829e-08	1.3930846225535078e-06
ANKRD49	5.337701	0.5141421	9.413252813914215e-08	1.5241284121311538e-06
TOPORS-AS1	5.2984405	0.48091185	1.1679583511316614e-07	1.866728283096269e-06
ZAP70	5.277957	1.0876204	1.3063212528595235e-07	2.0613306549359596e-06
TLE3	5.23955	0.7062401	1.6096853522037828e-07	2.466859362801188e-06
RCSD1	5.207971	0.61898166	1.9091662024199666e-07	2.8901361535820957e-06
CD3G	5.2011433	0.916498	1.9806637063310587e-07	2.9741901783777674e-06
ZYX	5.1840734	0.6232651	2.1709128742135792e-07	3.182865962035972e-06
IGJ	5.1687107	0.68621385	2.3571434638096276e-07	3.389190061477627e-06
TSN	5.1687107	0.6716348	2.3571434638096276e-07	3.389190061477627e-06
CBX6	5.165297	0.5660498	2.400576517337039e-07	3.4383642117550514e-06
CHPT1	5.137985	0.50201166	2.7769962339485644e-07	3.887794727527991e-06
UBE2V1	5.128597	1.0185205	2.919095750183757e-07	4.0411570905889635e-06
IL7R	5.098725	0.81333697	3.4194903153795115e-07	4.630611612535745e-06
GZMM	5.095311	1.005261	3.4816924008689226e-07	4.69776177566517e-06
PRF1	5.0867763	0.8700731	3.642013158715758e-07	4.8787255406681585e-06
MAL	5.072267	1.079342	3.931045801718986e-07	5.2282909162862515e-06
MT-CO3	5.0714135	0.24093254	3.9487198559467514e-07	5.23310773791662e-06
PDCD4	5.03386	0.43848947	4.807007911989205e-07	6.151648613143574e-06
LINC00926	5.0167904	0.2818208	5.254186658956154e-07	6.655303101344462e-06
ZNF101	4.9937463	0.65969217	5.921922120850063e-07	7.425332652540618e-06
GIMAP4	4.9869184	0.88836706	6.135000105449212e-07	7.666691406943916e-06
SET	4.9382696	0.28383878	7.881883719981348e-07	9.592200971637431e-06
GZMB	4.909251	0.57106996	9.142487575221939e-07	1.0912379400681572e-05
KRTCAP2	4.9024234	0.5199861	9.466164392888754e-07	1.1262618593967323e-05
SNRPF	4.9007163	0.09244727	9.548791299841264e-07	1.1324744840958238e-05
A1BG	4.8682837	0.47571075	1.1257162810046326e-06	1.318291644799136e-05
MT-ATP6	4.863163	0.3175027	1.1552474340836454e-06	1.3486336816700613e-05
RAP2B	4.854628	0.72354794	1.2061297029910871e-06	1.4036334418558776e-05
RPS17	4.8332906	0.62426925	1.3429438822618999e-06	1.5435564868960848e-05
BCL11B	4.821342	1.1183405	1.4259563775885592e-06	1.614061261440667e-05
RPL35A	4.8187814	0.108100064	1.4443759456719612e-06	1.629956370206783e-05
TMIGD2	4.8119535	1.1786861	1.4946201420682876e-06	1.6714610838024936e-05
PCMTD2	4.8119535	0.6014587	1.4946201420682876e-06	1.6714610838024936e-05
RPL34	4.801712	0.25598913	1.5731497504561292e-06	1.7540148714666542e-05
MATK	4.798298	1.0352019	1.6001967137075927e-06	1.778845540849873e-05
RBM3	4.79147	0.2295553	1.6556378159674e-06	1.829553479721839e-05
STMN3	4.7505026	0.6020972	2.029116127526989e-06	2.2030403670293024e-05
CD96	4.7505026	0.99630994	2.029116127526989e-06	2.2030403670293024e-05
RPL21	4.740261	0.25824636	2.1344325818878644e-06	2.310647364811165e-05
SYPL1	4.7231913	0.33639458	2.321724700744172e-06	2.5061167494409556e-05
CLEC7A	4.7103887	0.80799454	2.472446301568565e-06	2.6231880418921185e-05
KLRF1	4.682224	0.94758135	2.837794127602885e-06	2.9685239694362765e-05
CORO1B	4.675396	0.68865716	2.9338705820987964e-06	3.0518810189206476e-05
SAMD3	4.675396	1.0062716	2.9338705820987964e-06	3.0518810189206476e-05
IFT57	4.665154	0.35222957	3.083858736687593e-06	3.15502470753423e-05
TRIM52-AS1	4.6344285	0.4106066	3.5792476568088983e-06	3.622043009227266e-05
CSDE1	4.631015	0.3499502	3.638781354495124e-06	3.652512604889445e-05
RPS27A	4.631015	0.14655459	3.638781354495124e-06	3.652512604889445e-05
EIF3L	4.613945	0.19660138	3.950971622927162e-06	3.923578219674867e-05
CD8B	4.601996	0.57604176	4.184609995716346e-06	4.111738159379333e-05
TLK1	4.596875	0.338054	4.288743134546929e-06	4.191936859068967e-05
TNFRSF25	4.589194	0.9781347	4.449611096602542e-06	4.33778840935808e-05
RP11-1143G9.4	4.584073	0.76996773	4.560050997295665e-06	4.4222994567523584e-05
CD247	4.559322	0.6757769	5.131907614287747e-06	4.887781062815235e-05
MT-ND4	4.542252	0.2108705	5.56564251711639e-06	5.247203223732009e-05
ATG16L2	4.5149407	0.35929555	6.333452846404277e-06	5.926074974876765e-05
RPL7	4.5132337	0.24483696	6.384663698945607e-06	5.959019452349233e-05
HIF1A	4.508113	0.5725742	6.540684222483445e-06	6.089377011132088e-05
ARF5	4.5029917	0.59240556	6.7003484725942365e-06	6.191587521573434e-05
NDFIP1	4.5029917	0.27696434	6.7003484725942365e-06	6.191587521573434e-05
SNHG9	4.485922	0.54908836	7.259928725708606e-06	6.642745595709792e-05
ATP5I	4.4842153	0.34946254	7.3182824122856145e-06	6.679726397880301e-05
KLRD1	4.4756804	0.81506115	7.616842303605565e-06	6.86806797545451e-05
PABPN1	4.4415407	0.39148492	8.93170207935798e-06	7.919442510364075e-05
PTPRE	4.4415407	0.6976305	8.93170207935798e-06	7.919442510364075e-05
PAFAH1B2	4.4415407	0.49431223	8.93170207935798e-06	7.919442510364075e-05
AC092580.4	4.438127	1.0585593	9.07451483422148e-06	7.951410174739009e-05
RORA	4.427885	0.72609746	9.516161630769653e-06	8.299340963228615e-05
RPL4	4.417643	0.16067219	9.978297858920244e-06	8.68205168846238e-05
METAP2	4.415936	0.4401753	1.0057375240937854e-05	8.710154743547108e-05
PFDN5	4.3937454	0.18144313	1.114142112161473e-05	9.53808097859615e-05
NOSIP	4.381797	0.33982366	1.1770458728258684e-05	9.939498481640668e-05
CD300A	4.371555	0.7561067	1.2336480923107958e-05	0.00010393903836573311
RNF144B	4.3596063	0.85207784	1.3029675753038662e-05	0.00010928493807278372
RCAN3	4.3493643	0.53433335	1.3653274697276701e-05	0.00011374674490527614
EIF2S3	4.3493643	0.1781878	1.3653274697276701e-05	0.00011374674490527614
KLRG1	4.328881	0.85700816	1.4986913758662792e-05	0.00012402503741613385
MYC	4.3169317	0.54869986	1.5821300007364234e-05	0.00013006296076694128
CLDND1	4.301569	0.41895846	1.6959288834999512e-05	0.00013911099476109732
RPL38	4.2879133	0.2194316	1.8035946009820822e-05	0.0001463308560796792
RP11-290F20.3	4.276818	0.82954746	1.8958368665596813e-05	0.00015281594136511373
B4GALT1	4.25036	0.48941743	2.1342728126333336e-05	0.00016946763228670647
PXN	4.2264624	0.85406035	2.3739400934788608e-05	0.00018729984974820503
IL6ST	4.2128067	0.8665471	2.522170792869459e-05	0.00019773819016096557
LRP1	4.2110996	0.9948956	2.5413070122775105e-05	0.00019840308833797587
FAM60A	4.2025647	0.23273416	2.6390777518776217e-05	0.0002043227764655356
TMED2	4.195737	0.2929796	2.7198592674580155e-05	0.0002097050913460383
ANAPC15	4.1829348	0.33144584	2.8777028266747184e-05	0.00022005267610958218
AC084018.1	4.1445274	0.57499105	3.40514849270399e-05	0.00025669580944999307
CD4	4.1445274	0.91044396	3.40514849270399e-05	0.00025669580944999307
RASA3	4.1376996	0.614159	3.508049700060008e-05	0.00026285668175097523
PHAX	4.135993	0.34792584	3.534232649346581e-05	0.00026375716204742825
CAMK4	4.127458	0.8599362	3.667954843636364e-05	0.00027155991725053317
PFDN4	4.1120954	0.39798602	3.92084550064128e-05	0.00028913324048293317
PAN3	4.0864906	0.6174098	4.37947181641341e-05	0.0003191615077167033
MT-ND5	4.0762486	0.2682434	4.576805009151478e-05	0.0003309518806617496
DSTN	4.0566187	0.3288547	4.978828292362797e-05	0.000357937385342839
RP11-427H3.3	4.020772	0.8181746	5.8007677759298177e-05	0.0004122530381214245
ARRB2	4.016505	0.38653037	5.906766773792495e-05	0.000417396574299872
SPOCK2	4.0122375	0.34761405	6.014598267523477e-05	0.000422610640533159
RNASEK	4.0071163	0.44691765	6.146456778415463e-05	0.00042783934659475117
C1orf56	4.006263	0.672036	6.16869755132322e-05	0.0004285863746479043
LCK	3.9943142	0.50481796	6.488179333326017e-05	0.000448274208484343
TRAPPC6A	3.9909003	0.35576692	6.582297727469186e-05	0.0004539347543906527
CSF3R	3.9823654	0.6902441	6.823278650397572e-05	0.0004670935605529514
CDC42	3.9687095	0.23206	7.226289156275531e-05	0.0004892854694176378
PITPNC1	3.95164	0.6836973	7.76174936012314e-05	0.0005208063894972715
RPS3	3.9499328	0.11211278	7.81731141026319e-05	0.000523591145536333
CRTAP	3.9354236	0.5004857	8.305007744920731e-05	0.0005522830150372286
PRKCH	3.9294493	0.8062834	8.514065694582241e-05	0.0005621698696209976
RPL31	3.9089656	0.118154675	9.269218040723402e-05	0.0006077212673178512
RGL4	3.9021378	0.9162378	9.534690326276815e-05	0.0006218421501760921
EEF2	3.8970168	0.12376249	9.738488813843426e-05	0.0006329167948124419
NDUFB1	3.881654	0.34044552	0.0001037484200830159	0.0006684413778359017
PELI1	3.8790936	0.59521663	0.00010484643456789859	0.0006708730624241483
CDA	3.8790936	0.8460482	0.00010484643456789859	0.0006708730624241483
PTGER2	3.8679981	0.88690567	0.00010973246422123422	0.0006961562125381197
MAFB	3.8645842	0.7982563	0.00011127856295972232	0.0007035676883905024
OGT	3.8543425	0.429682	0.00011604108016199851	0.0007287301560257714
FYN	3.8253238	0.5689537	0.00013060024880800865	0.0008105922109350403
TOMM7	3.8253238	0.21291289	0.00013060024880800865	0.0008105922109350403
TMEM256	3.818496	0.2944896	0.00013426773957745834	0.0008305864820373005
GBAS	3.815082	0.3596055	0.00013613766632476716	0.000839365346677869
GINM1	3.7638729	0.5133123	0.0001673019135273266	0.000998449240345776
DPEP2	3.7596054	0.3774985	0.0001701814939366435	0.001012389590127892
PET100	3.757045	0.46846822	0.00017193155225774876	0.0010211692194702655
CIRBP	3.7331474	0.17926861	0.00018910181846398686	0.0011090002708029718
AMICA1	3.7160778	0.64910936	0.00020233935918552887	0.001168235307917689
MARCH6	3.7092497	0.39195618	0.0002078742281220618	0.001198333785644827
SLC20A1	3.7058358	0.6703554	0.00021069469149854813	0.0012089784763337338
ZSCAN16-AS1	3.6887662	0.39434648	0.00022534419300079906	0.0012851175723353379
MYEOV2	3.6870592	0.10862489	0.00022686058889529918	0.0012917872064924986
RPL32	3.6853523	0.092644714	0.00022838655863373822	0.0012984909074076965
BCL2	3.6827917	0.31747139	0.0002306935867156114	0.0013096081050745988
RSL1D1	3.6699896	0.2016714	0.0002425604430269389	0.0013644940934022967
TANK	3.6699896	0.28847015	0.0002425604430269389	0.0013644940934022967
ACAT1	3.6665754	0.47024444	0.00024582032112563807	0.0013807464191129355
GABARAP	3.6648686	0.7842238	0.0002474656286086876	0.0013858075202086506
CTNNB1	3.6597476	0.4606223	0.0002524637412479459	0.0014095576797711403
MT-CO1	3.6170733	0.16577134	0.00029795287779011814	0.0016341333091169365
CEBPD	3.6136594	0.71703357	0.0003019055855842627	0.0016509491934152633
KTN1	3.6119525	0.22685802	0.00030390030420339513	0.001659420429403876
RBL2	3.6000037	0.23770125	0.00031821272301896426	0.0017274404963886633
WTAP	3.5914688	0.27643347	0.000328819568007146	0.0017798314989224007
LENG8	3.5863478	0.332392	0.00033534155229715046	0.0018020374325463035
CCNG1	3.57952	0.2214586	0.00034422593059096624	0.001841806559656262
UPP1	3.5641572	0.5619631	0.00036502710749471915	0.001947508521934576
CRLF3	3.5564759	0.43571573	0.00037586300025468596	0.0019910580554032015
WDR43	3.5522084	0.34562027	0.0003820121289672875	0.0020093406331556196
CNOT1	3.5351386	0.46587348	0.00040756115247476347	0.0021227380864559707
BIRC2	3.5342853	0.35681245	0.00040887958519679463	0.002126630691721876
SGK1	3.5197759	0.6513392	0.00043191145680360833	0.00223084364096621
RPS6	3.518069	0.11646267	0.00043469932873751944	0.002242133379804048
MARCKS	3.516362	0.34324205	0.000437503992890891	0.0022534783810866914
TYROBP	3.514655	0.2771968	0.0004403255421871746	0.0022648788937914893
GZMA	3.512948	0.5168983	0.00044316407001056295	0.0022763351678887402
ANKRD10	3.5095341	0.28930226	0.0004488924370908522	0.002299416005125631
FAM105A	3.5061202	0.7393117	0.00045468985049451854	0.0023163679934905435
PRDM2	3.5061202	0.322793	0.00045468985049451854	0.0023163679934905435
RPL41	3.5061202	0.15769677	0.00045468985049451854	0.0023163679934905435
RAB31	3.5027063	0.4917778	0.0004605570740819109	0.002336668315914218
TNRC6B	3.5027063	0.19991383	0.0004605570740819109	0.002336668315914218
TCEAL4	3.5009992	0.44161367	0.0004635171054665916	0.0023452957890728087
DHX30	3.4992924	0.43720204	0.00046649487927441925	0.0023571600141356
PIP4K2A	3.4958785	0.38636714	0.0004725040451183485	0.0023842887046351354
DDX6	3.4941714	0.26108852	0.0004755356338373116	0.00239633924277422
PTPN4	3.4924643	0.43878725	0.00047858535834919007	0.002408448479043762
PRAM1	3.4822226	0.6524031	0.000497270166417371	0.00249910134917448
CCR7	3.4788086	0.43387923	0.0005036480926074443	0.002527743257237362
PRKCB	3.4702737	0.24590635	0.0005199281044462532	0.002598942632158184
RPS4X	3.468567	0.13064967	0.0005232424083881457	0.0026050196909591637
FOXP1	3.4532042	0.27922338	0.0005539697667365832	0.0027433290044242497
BRIX1	3.451497	0.36742818	0.0005574857666503358	0.0027570743625575708
LDHB	3.4429622	0.14780296	0.0005753796628189229	0.0028380316083942633
RIN3	3.4412553	0.3174545	0.0005790220157803179	0.002852219559214159
RPL37A	3.407116	0.18196467	0.0006565326075603461	0.003212782431740774
TATDN1	3.401995	0.24948783	0.000668958844593143	0.0032650101405830466
CD44	3.395167	0.207735	0.0006858674629694394	0.0033387848785597285
NAE1	3.39346	0.31894335	0.0006901562501178526	0.003350902054027227
ANP32E	3.3695624	0.30170286	0.0007528763106530285	0.003613030129989533
GIMAP1	3.3678555	0.683321	0.0007575529797438148	0.00363079446147486
CD36	3.3644416	0.57161427	0.0007669873480469009	0.003666573663833965
IFNGR1	3.3396904	0.25702438	0.0008387182490591784	0.003988999692843397
PTPMT1	3.333716	0.45004117	0.0008569409603086457	0.00405495315907166
MDM4	3.333716	0.3410345	0.0008569409603086457	0.00405495315907166
MECP2	3.3311555	0.31629717	0.0008648625234831448	0.0040820634188228535
NAAA	3.3285952	0.2708791	0.0008728519408388157	0.0041093560400553095
C8orf33	3.3251812	0.34361425	0.0008836109620594777	0.004144291212480472
SNX10	3.3200603	0.23688433	0.0008999802015100015	0.004205177252726782
VCAN	3.3183532	0.5175619	0.0009054987744437992	0.004215096795035885
EAPP	3.3166463	0.12379283	0.0009110486951177158	0.004235637129361265
THEM4	3.3157928	0.31767124	0.00091383546139262	0.004243295833199647
CD300E	3.3115253	0.72911614	0.0009278881653053632	0.004303182475214412
PSMD9	3.3012836	0.59122354	0.0009624355709685786	0.004424827242329613
RPL35	3.2842138	0.08397876	0.0010226729113935824	0.00467866575187924
STAT4	3.270558	0.73564804	0.0010733550088484244	0.00488055439920822
SHOC2	3.2637303	0.2545313	0.0010995582379315818	0.004987521166939355
PREX1	3.2611697	0.5048205	0.0011095360392834402	0.005020549465724825
TTC19	3.2517815	0.3448543	0.001146841947922253	0.005151796639399843
NBPF10	3.2398326	0.44143236	0.001195998997754558	0.005334012296572424
C5orf24	3.2321513	0.35075694	0.0012286202437933546	0.0054664059592430736
SIGIRR	3.2304442	0.14697383	0.0012359801231859855	0.005486042882889881
PUM2	3.2295907	0.45626396	0.0012396753113847296	0.005495893880472302
PRDM1	3.2261767	0.58140606	0.001254558313964188	0.005548664086938998
MEF2A	3.2219093	0.29173747	0.0012733940480619097	0.0056119756627012445
LTA4H	3.221056	0.15740165	0.0012771923830422049	0.0056220619792543385
ARHGEF1	3.2184954	0.15881525	0.0012886502308546433	0.005659119645875815
CD2	3.212521	0.56427395	0.001315755147727661	0.005744281559364373
C1orf86	3.2074	0.28927544	0.0013394056391913905	0.005827040420968152
ATF7IP2	3.202279	0.2978675	0.0013634477926718963	0.005904046023151328
PRKD3	3.1997187	0.21109703	0.0013756175663421106	0.005949825571495958
FBL	3.1664329	0.22063868	0.0015432100256482719	0.006567901869159045
LEPROTL1	3.1647258	0.33781958	0.0015522915295677847	0.006599011022957113
PIM1	3.1553376	0.57035863	0.0016031255574722762	0.006791853897641362
ZFX	3.1502166	0.33373392	0.0016314947981117187	0.006904189350190955
CD8A	3.149363	0.63457	0.0016362676787572076	0.006908685754752655
DGKZ	3.1459491	0.6350035	0.0016554879770729247	0.0069582812941530155
RPS8	3.144242	0.13850762	0.0016651758284019047	0.0069832373704602395
MARCKSL1	3.144242	0.48956436	0.0016651758284019047	0.0069832373704602395
OXR1	3.1374142	0.3258771	0.0017044511169325108	0.007115892331229451
LYST	3.126319	0.2331685	0.0017700945789122166	0.0073487538593858355
RPS3A	3.1254654	0.13938145	0.0017752391238354994	0.007353715792172858
SSR1	3.1126633	0.18232384	0.0018540748590873798	0.007637803954913056
KIF22	3.1066887	0.4535001	0.0018919546748418794	0.007768069690309988
R3HDM2	3.0938864	0.24590433	0.001975530559104484	0.008066749783009978
PCNP	3.0810843	0.21676396	0.0020624831728277503	0.008375885862170711
MORF4L1	3.0776703	0.162627	0.002086256259545314	0.008463200774016067
HSD17B11	3.0691354	0.22672239	0.0021467927279187108	0.008670993621224815
SSBP4	3.0580401	0.20550646	0.0022278977724835827	0.008940400112854376
LDLRAP1	3.0503588	0.5923967	0.0022856819961520006	0.009152558874914032
MAPKAPK3	3.0452378	0.42314583	0.002324964104239936	0.009279921033429284
TGFBI	3.0452378	0.6524471	0.002324964104239936	0.009279921033429284
LENG1	3.0401168	0.35231754	0.0023648635934391195	0.009429070687331136
HMGN2	3.034996	0.14375728	0.0024053891041369182	0.009570159213467825
VAMP2	3.031582	0.19827586	0.002432758214209414	0.009637863393314742
CREBRF	3.029875	0.2715664	0.0024465493791976734	0.009671921324981037
COMMD6	3.028168	0.19490902	0.0024604120556182964	0.00970611704991794
ALKBH7	3.028168	0.15152378	0.0024604120556182964	0.00970611704991794
FTL	3.0213401	0.098990865	0.0025165844991593776	0.009917207063353991
ZRSR2	3.0179262	0.4243735	0.0025451084364306077	0.010019010377661293
RPL18A	3.0162194	0.11875888	0.002559481011263322	0.01006494961556981
PSMB10	3.0128052	0.24343705	0.002588449069963035	0.010146720354255097
GPS2	3.0051239	0.32379866	0.00265472640501802	0.010384665054923432
NSRP1	3.00171	0.17908384	0.002684677898317471	0.010479811837876584
CSF1R	2.9923217	0.65989095	0.00276864376210051	0.010773698401319016
RC3H1	2.9872007	0.45727298	0.002815447815784701	0.010932979839397526
UBXN11	2.9854937	0.37123352	0.0028312090101119815	0.010971303177582747
PRKDC	2.9854937	0.27062845	0.0028312090101119815	0.010971303177582747
RP11-138A9.2	2.9837868	0.46279183	0.0028470507309041352	0.01100977873508515
PLAUR	2.9837868	0.63967985	0.0028470507309041352	0.01100977873508515
AGTPBP1	2.976959	0.48094323	0.0029112302001745127	0.011211397378955415
TMEM50B	2.9743984	0.50193155	0.0029356359880923786	0.011293707045099192
TARSL2	2.971838	0.2406734	0.002960228355613698	0.011376563876476172
RPS18	2.966717	0.08172824	0.0030099778923394042	0.011555832650589631
MLLT3	2.9547682	0.5834691	0.003129039683710832	0.01197589289017383
CXXC5	2.9522078	0.2058721	0.0031551050185076365	0.012063255738113387
CMPK1	2.9479403	0.3387482	0.0031989873969059716	0.012205972403768275
DHX15	2.9394054	0.35198867	0.0032884249633358203	0.012496014860676117
ATP1A1	2.9342847	0.33739018	0.0033431748884267054	0.012691114459226351
CMC1	2.9291637	0.4121261	0.003398753708315624	0.012849704375398358
MGST3	2.9291637	0.3254745	0.003398753708315624	0.012849704375398358
ERO1L	2.9283102	0.42783812	0.003408098207432269	0.01287196523780707
RNF138	2.9223359	0.24862498	0.0034741673438197234	0.013042136278613559
MKRN1	2.9206288	0.40261784	0.003493257184559005	0.01310059391268654
SH2B3	2.918922	0.59652996	0.0035124424339925413	0.013146065953958015
GATA3	2.9172149	0.75601155	0.0035317235127809905	0.013204958194373905
SAMHD1	2.915508	0.57342184	0.003551100843126327	0.013237537076879323
ACTN1	2.9061196	0.64712566	0.003659415670844493	0.013573370476319612
SMARCB1	2.8984382	0.16604194	0.0037502619767090352	0.013841402974494
IST1	2.8881965	0.26305225	0.003874578893471958	0.014229715778392084
AOAH	2.8847826	0.5230233	0.003916842446128829	0.01431434864512636
R3HDM4	2.8796616	0.13178454	0.003981023200661146	0.014492014075525033
ZBTB20	2.8779545	0.19230507	0.004002628052681538	0.014542231090913217
YBX1	2.8591778	0.07091447	0.004247405718588736	0.015326878775217493
RPS13	2.855764	0.09583461	0.004293342476020028	0.015462676383654337
ID2	2.8540568	0.36107412	0.004316479381342193	0.015530984749872778
BTF3	2.847229	0.08040557	0.004410161781059823	0.015791771608333442
RASSF5	2.8369873	0.3154425	0.004554143443700401	0.01626043162448734
SNRK	2.8361337	0.436704	0.0045663320333180655	0.016288333804670953
NOTCH2	2.8335733	0.23679312	0.004603075289581378	0.016388004185851866
RNF125	2.8327198	0.40954688	0.00461538241339509	0.016416126177156938
BANK1	2.8301594	0.17975517	0.004652482781936464	0.016500805599934658
FCGR3A	2.81565	0.52994984	0.004867865533298716	0.01715036068685375
KIDINS220	2.8147967	0.30370638	0.004880811660784158	0.017179718926994523
UFM1	2.8045547	0.2987454	0.005038612825380753	0.017668356084480155
KCNAB2	2.7926059	0.5074997	0.00522853410499131	0.0182313305308873
TCF7	2.7849245	0.2624945	0.005354017454939739	0.01859921735279439
SRSF6	2.780657	0.26313397	0.0054248995757838715	0.018810359422922848
FHIT	2.7780967	0.4638824	0.0054678344230748195	0.018923991999563784
LGALS2	2.7772431	0.7473356	0.005482214054585217	0.018956142190599212
DGKA	2.7738292	0.23915094	0.005540074535934306	0.019138439305954876
HMOX1	2.7704153	0.52965456	0.005598485540503613	0.01932229856611256
TBL1XR1	2.7652943	0.39463922	0.005687144241518759	0.019573867980975837
NAA50	2.7610269	0.2913289	0.005761991699467912	0.019776642478173734
OGFR	2.75932	0.24193408	0.005792178562759569	0.01984367338336397
MTERFD2	2.7524922	0.27472228	0.005914357045441557	0.020151020711092735
